Year,Period,Region,Site,Prey_Type,Eel_Prey_Count,mean_count,Eel_SE,Eel_SD,Eel_min,Eel_max,Eel_Total_Species,Eel_Proportion,Eel_sample_size_unique,Eel_sample_size,TT_Count,sum_count_forselectivity,mean_count_for_selectivity,mean_count_for_regression,TT_SE,TT_SD,adjusted_TT_count,Total_Species,TT_Proportion,TT_min,TT_max,TT_sample_size_unique,TT_sample_size
2022,4,TSL,TS,Fish,3,0.272727273,0.140835758,0.467099366,0,1,24,0.125,2,11,341,341,15.5,16.23809524,1.16681243,5.347006283,411,746,0.550938338,8,29,15,21
2022,4,TSL,TS,Gastropoda,4,0.363636364,0.203278907,0.674199862,0,2,24,0.166666667,3,11,3,3,0.136363636,0.142857143,0.07824608,0.358568583,12,746,0.016085791,0,1,2,21
2022,4,TSL,TS,Hemiptera,0,0,0,0,0,0,24,0,1,11,25,25,1.136363636,1.19047619,0.305653458,1.400680107,25,746,0.033512064,0,4,5,21
2022,4,TSL,TS,Miscellaneous,0,0,0,0,0,0,24,0,1,11,0,1,0.045454545,0,0,0,0,746,0,0,0,1,21
2022,4,TSL,TS,Odonata,16,1.454545455,0.608480019,2.018099916,0,7,24,0.666666667,4,11,81,81,3.681818182,3.857142857,0.805592696,3.691689509,92,746,0.123324397,0,13,11,21
2022,4,TSL,TS,Shrimp,1,0.090909091,0.090909091,0.301511345,0,1,24,0.041666667,2,11,172,172,7.818181818,8.19047619,0.89074353,4.081899651,195,746,0.261394102,3,19,9,21
2022,4,TSL,TS,UknownInsects,0,0,0,0,0,0,24,0,1,11,,,,,,,,,,,,,
2022,4,WCA 3A,1,Coleoptera,0,0,0,0,0,0,2,0,1,2,1,1,0.0625,0.066666667,0.066666667,0.25819889,3,211,0.014218009,0,1,2,15
2022,4,WCA 3A,1,Crayfish,0,0,0,0,0,0,2,0,1,2,,,,,,,,,,,,,
2022,4,WCA 3A,1,Diptera,0,0,0,0,0,0,2,0,1,2,0,1,0.0625,0,0,0,0,211,0,0,0,1,15
2022,4,WCA 3A,1,Fish,0,0,0,0,0,0,2,0,1,2,,,,,,,,,,,,,
2022,4,WCA 3A,1,Gastropoda,0,0,0,0,0,0,2,0,1,2,2,2,0.125,0.133333333,0.090851353,0.351865775,8,211,0.037914692,0,1,2,15
2022,4,WCA 3A,1,Hemiptera,0,0,0,0,0,0,2,0,1,2,3,3,0.1875,0.2,0.2,0.774596669,3,211,0.014218009,0,3,2,15
2022,4,WCA 3A,1,Miscellaneous,0,0,0,0,0,0,2,0,1,2,1,1,0.0625,0.066666667,0.066666667,0.25819889,1,211,0.004739336,0,1,2,15
2022,4,WCA 3A,1,Odonata,2,1,0,0,1,1,2,1,1,2,51,51,3.1875,3.4,0.815329323,3.157756889,58,211,0.274881517,0,11,8,15
2022,4,WCA 3A,1,Shrimp,0,0,0,0,0,0,2,0,1,2,121,121,7.5625,8.066666667,1.475084071,5.71297604,138,211,0.654028436,0,19,12,15
2022,4,WCA 3A,1,UknownInsects,0,0,0,0,0,0,2,0,1,2,,,,,,,,,,,,,
2022,4,WCA 3A,2,Coleoptera,0,0,,,0,0,1,0,1,1,1,1,0.0625,0.066666667,0.066666667,0.25819889,3,688,0.004360465,0,1,2,15
2022,4,WCA 3A,2,Crayfish,1,1,,,1,1,1,1,1,1,23,23,1.4375,1.533333333,0.321701824,1.245945806,26,688,0.037790698,0,4,5,15
2022,4,WCA 3A,2,Diptera,0,0,,,0,0,1,0,1,1,0,1,0.0625,0,0,0,0,688,0,0,0,1,15
2022,4,WCA 3A,2,Fish,0,0,,,0,0,1,0,1,1,155,155,9.6875,10.33333333,1.439797164,5.576310437,187,688,0.271802326,1,21,12,15
2022,4,WCA 3A,2,Gastropoda,0,0,,,0,0,1,0,1,1,2,2,0.125,0.133333333,0.090851353,0.351865775,8,688,0.011627907,0,1,2,15
2022,4,WCA 3A,2,Hemiptera,0,0,,,0,0,1,0,1,1,18,18,1.125,1.2,0.427617987,1.656157342,18,688,0.026162791,0,5,4,15
2022,4,WCA 3A,2,Miscellaneous,0,0,,,0,0,1,0,1,1,10,10,0.625,0.666666667,0.210818511,0.816496581,10,688,0.014534884,0,2,3,15
2022,4,WCA 3A,2,Odonata,0,0,,,0,0,1,0,1,1,111,111,6.9375,7.4,1.233655042,4.777925431,126,688,0.183139535,0,17,11,15
2022,4,WCA 3A,2,Shrimp,0,0,,,0,0,1,0,1,1,273,273,17.0625,18.2,2.204324754,8.53731306,310,688,0.450581395,4,31,13,15
2022,4,WCA 3A,2,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,4,WCA 3A,4,Coleoptera,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Crayfish,0,0,,,0,0,3,0,1,1,,,,,,,,,,,,,
2022,4,WCA 3A,4,Diptera,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Fish,0,0,,,0,0,3,0,1,1,,,,,,,,,,,,,
2022,4,WCA 3A,4,Gastropoda,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Hemiptera,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Miscellaneous,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Odonata,2,2,,,2,2,3,0.666666667,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,Shrimp,1,1,,,1,1,3,0.333333333,1,1,0,1,0.0625,0,0,0,0,0,,0,0,1,15
2022,4,WCA 3A,4,UknownInsects,0,0,,,0,0,3,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Coleoptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Crayfish,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Diptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Fish,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Gastropoda,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Hemiptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Miscellaneous,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Odonata,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,Shrimp,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,
2022,NA,WCA 3A,4,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,SRS,7,Coleoptera,0,0,0,0,0,0,4,0,1,2,25,25,1.136363636,1.19047619,0.342393867,1.569045813,66,2697,0.024471635,0,5,6,21
2023,1,SRS,7,Crayfish,2,1,0,0,1,1,4,0.5,1,2,25,25,1.136363636,1.19047619,0.263845622,1.209092537,28,2697,0.010381906,0,4,5,21
2023,1,SRS,7,Diptera,0,0,0,0,0,0,4,0,1,2,2,2,0.090909091,0.095238095,0.065638327,0.300792604,8,2697,0.002966259,0,1,2,21
2023,1,SRS,7,Fish,0,0,0,0,0,0,4,0,1,2,263,263,11.95454545,12.52380952,1.059242873,4.854060647,317,2697,0.117538005,5,27,13,21
2023,1,SRS,7,Gastropoda,0,0,0,0,0,0,4,0,1,2,30,30,1.363636364,1.428571429,0.234738239,1.075705748,120,2697,0.044493882,0,3,4,21
2023,1,SRS,7,Hemiptera,0,0,0,0,0,0,4,0,1,2,256,256,11.63636364,12.19047619,0.901372096,4.130605859,256,2697,0.094920282,4,21,12,21
2023,1,SRS,7,Miscellaneous,0,0,0,0,0,0,4,0,1,2,33,33,1.5,1.571428571,0.490730401,2.248809209,33,2697,0.012235818,0,8,6,21
2023,1,SRS,7,Odonata,2,1,1,1.414213562,0,2,4,0.5,2,2,639,639,29.04545455,30.42857143,2.587121427,11.85567977,726,2697,0.269187987,11,49,17,21
2023,1,SRS,7,Shrimp,0,0,0,0,0,0,4,0,1,2,1006,1006,45.72727273,47.9047619,4.09988662,18.78804078,1143,2697,0.423804227,18,88,19,21
2023,1,SRS,7,UknownInsects,0,0,0,0,0,0,4,0,1,2,,,,,,,,,,,,,
2023,1,TSL,MD,Coleoptera,0,0,0,0,0,0,10,0,1,3,1,1,0.045454545,0.047619048,0.047619048,0.21821789,3,2305,0.001301518,0,1,2,21
2023,1,TSL,MD,Crayfish,0,0,0,0,0,0,10,0,1,3,0,1,0.045454545,0,0,0,0,2305,0,0,0,1,21
2023,1,TSL,MD,Diptera,0,0,0,0,0,0,10,0,1,3,0,1,0.045454545,0,0,0,0,2305,0,0,0,1,21
2023,1,TSL,MD,Fish,1,0.333333333,0.333333333,0.577350269,0,1,10,0.1,2,3,374,374,17,17.80952381,1.490635926,6.830951966,451,2305,0.195661605,4,32,13,21
2023,1,TSL,MD,Gastropoda,1,0.333333333,0.333333333,0.577350269,0,1,10,0.1,2,3,4,4,0.181818182,0.19047619,0.111676566,0.511766316,16,2305,0.006941432,0,2,3,21
2023,1,TSL,MD,Hemiptera,0,0,0,0,0,0,10,0,1,3,42,42,1.909090909,2,0.83094897,3.807886553,42,2305,0.018221258,0,16,6,21
2023,1,TSL,MD,Miscellaneous,0,0,0,0,0,0,10,0,1,3,3,3,0.136363636,0.142857143,0.104328106,0.478091444,3,2305,0.001301518,0,2,3,21
2023,1,TSL,MD,Odonata,4,1.333333333,0.666666667,1.154700538,0,2,10,0.4,2,3,705,705,32.04545455,33.57142857,3.066385672,14.05194445,801,2305,0.347505423,17,70,17,21
